Fips,County name,2023 Typology,Total ,Biden ,Trump
47141,"Putnam County, Tennessee",College Towns,33593,9185,23759
47143,"Rhea County, Tennessee",Evangelical Hubs,13637,2369,11050
47145,"Roane County, Tennessee",Evangelical Hubs,25917,6043,19230
47147,"Robertson County, Tennessee",Rural Middle America,33717,8692,24536
47149,"Rutherford County, Tennessee",Urban Burbs,143878,59341,81480
47151,"Scott County, Tennessee",Evangelical Hubs,9052,986,8004
47153,"Sequatchie County, Tennessee",Evangelical Hubs,7252,1298,5855
47155,"Sevier County, Tennessee",Evangelical Hubs,43535,8721,33783
47157,"Shelby County, Tennessee",African American South,382055,246105,129815
47159,"Smith County, Tennessee",Evangelical Hubs,9051,1802,7136
47161,"Stewart County, Tennessee",Evangelical Hubs,6296,1232,4950
47163,"Sullivan County, Tennessee",Evangelical Hubs,74357,17272,55860
47165,"Sumner County, Tennessee",Exurbs,92630,27680,63454
47167,"Tipton County, Tennessee",Evangelical Hubs,27308,6837,20070
47169,"Trousdale County, Tennessee",Evangelical Hubs,3998,1012,2936
47171,"Unicoi County, Tennessee",Evangelical Hubs,8307,1615,6599
47173,"Union County, Tennessee",Evangelical Hubs,8123,1249,6803
47175,"Van Buren County, Tennessee",Evangelical Hubs,2921,544,2342
47177,"Warren County, Tennessee",Evangelical Hubs,16009,3924,11850
47179,"Washington County, Tennessee",College Towns,60203,18638,40444
47181,"Wayne County, Tennessee",Evangelical Hubs,6669,820,5795
47183,"Weakley County, Tennessee",Evangelical Hubs,13735,3020,10396
47185,"White County, Tennessee",Evangelical Hubs,11895,2143,9606
47187,"Williamson County, Tennessee",Exurbs,139016,50161,86469
47189,"Wilson County, Tennessee",Exurbs,74330,22254,50296
48001,"Anderson County, Texas",Evangelical Hubs,19227,3955,15110
48003,"Andrews County, Texas",Hispanic Centers,5863,850,4943
48005,"Angelina County, Texas",Working Class Country,34574,9143,25076
48007,"Aransas County, Texas",Graying America,12290,2916,9239
48009,"Archer County, Texas",Rural Middle America,4796,446,4300
48011,"Armstrong County, Texas",Aging Farmlands,1112,75,1035
48013,"Atascosa County, Texas",Hispanic Centers,18118,5876,12039
48015,"Austin County, Texas",Exurbs,14554,2951,11447
48017,"Bailey County, Texas",Hispanic Centers,1860,409,1434
48019,"Bandera County, Texas",Graying America,12715,2505,10057
48021,"Bastrop County, Texas",Exurbs,36665,15474,20516
48023,"Baylor County, Texas",Aging Farmlands,1702,183,1494
48025,"Bee County, Texas",Hispanic Centers,9420,3288,6006
48027,"Bell County, Texas",Military Posts,127375,57014,67893
48029,"Bexar County, Texas",Big Cities,770818,448452,308618
48031,"Blanco County, Texas",Graying America,7441,1911,5443
48033,"Borden County, Texas",Aging Farmlands,416,16,397
48035,"Bosque County, Texas",Working Class Country,9126,1561,7469
48037,"Bowie County, Texas",African American South,38261,10747,27116
48039,"Brazoria County, Texas",Exurbs,154984,62228,90433
48041,"Brazos County, Texas",College Towns,85061,35349,47530
48043,"Brewster County, Texas",Hispanic Centers,4822,2258,2461
48045,"Briscoe County, Texas",Aging Farmlands,725,78,639
48047,"Brooks County, Texas",Hispanic Centers,2484,1470,998
48049,"Brown County, Texas",Working Class Country,15969,2107,13698
48051,"Burleson County, Texas",Working Class Country,8609,1788,6743
